Filename,TreeType,Total elements,Unique Elements,NUmber of rotations,Build Time,50 Lines Assorted,Assoc 50 Assorted,Lines 500 10-set
Inputs/F3TEXTOA.txt,LinkedList,10000,2920,0,4892.205,22.552,30.035,261.458
Inputs/F3TEXTOA.txt,BinarySearchTree,10000,2920,0,215.444,0.320,0.549,3.166
Inputs/F3TEXTOA.txt,AVLTree,10000,2920,2113,212.256,0.260,0.377,2.480
Inputs/F3TEXTOA.txt,RBTree,10000,2920,1728,192.340,0.274,0.380,2.472
Inputs/F3TEXTOA.txt,MaxTreap,10000,2920,5735,195.044,0.330,0.455,3.18
Inputs/F3TEXTOA.txt,SplayTree,10000,2920,117964,381.414,0.306,0.748,1.334
Inputs/F3TEXTOB.txt,LinkedList,10000,2922,0,6064.705,23.039,25.607,305.634
Inputs/F3TEXTOB.txt,BinarySearchTree,10000,2922,0,8588.106,30.0946,33.389,389.708
Inputs/F3TEXTOB.txt,AVLTree,10000,2922,2910,148.225,0.271,0.374,2.675
Inputs/F3TEXTOB.txt,RBTree,10000,2922,2902,179.2717,0.273,0.409,2.679
Inputs/F3TEXTOB.txt,MaxTreap,10000,2922,2919,108.108,0.346,0.487,3.557
Inputs/F3TEXTOB.txt,SplayTree,10000,2922,2921,68.0445,1.870,0.353,1.363
Inputs/F3TEXTOC.txt,LinkedList,10038,2922,0,1859.623,25.526,26.944,184.322
Inputs/F3TEXTOC.txt,BinarySearchTree,10038,2922,0,8225.681,26.606,24.,323.107
Inputs/F3TEXTOC.txt,AVLTree,10038,2922,2910,147.654,0.263,0.399,2.552
Inputs/F3TEXTOC.txt,RBTree,10038,2922,2902,191.639,0.287,0.399,2.465
Inputs/F3TEXTOC.txt,MaxTreap,10038,2922,2914,121.541,0.322,0.418,3.174
Inputs/F3TEXTOC.txt,SplayTree,10038,2922,2921,70.847,2.443,0.355,1.328
Inputs/F3TEXTOD.txt,LinkedList,10000,84,0,781.844,0.538,2.731,7.401
Inputs/F3TEXTOD.txt,BinarySearchTree,10000,84,0,672.075,0.176,1.515,1.871
Inputs/F3TEXTOD.txt,AVLTree,10000,84,44,214.036,0.161,0.407,1.612
Inputs/F3TEXTOD.txt,RBTree,10000,84,41,219.853,0.157,0.390,1.676
Inputs/F3TEXTOD.txt,MaxTreap,10000,84,115,160.964,0.205,0.437,1.956
Inputs/F3TEXTOD.txt,SplayTree,10000,84,74002,241.891,0.198,3.34,1.274